,团体,自主,a,安全利用网络,参与环境保护,尝试创意作品,促进民族团结,感知悠久历史,合理利用时间,积极调节情绪,加强国家认识,敬爱父母.长辈,开阔国际视野,乐于团队合作,了解中国国情,厉行勤俭节约,能够明辨是非,强化法治意识,勤于探究实践,热情帮助他人,热心社会公益,认同中华文化,树立远大理想,学会自我保护,学习先进榜样,学习自我规划,学做合格公民,言行文明有礼,养成勤劳品质,勇于面对挫折,增强国防意识,增强责任意识,正确认识自我,支持自主品牌,做到诚实守信,a.1,北京汇文实验中学（125中学),北京汇文中学,北京景山学校,北京市崇文门中学,北京市第二十二中学,北京市第二十七中学,北京市第二十四中学,北京市第二十五中学,北京市第二十一中学,北京市第二中学分校,北京市第九十六中学,北京市第六十五中学,北京市第十一中学,北京市第十一中学分校,北京市第十一中学实验学校,北京市第五十四中学,北京市第五十五中学,北京市第五十中学,北京市第五十中学分校,北京市第五中学分校,北京市第一零九中学,北京市第一六六中学,北京市第一六五中学,北京市第一七七中学,北京市第一七一中学,北京市第一四二中学,北京市第一一五中学,北京市第一中学,北京市东直门中学,北京市广渠门中学,北京市国子监中学,北京市和平北路学校,北京市龙潭中学,北京市前门外国语学校,北京市文汇中学,中央工艺美术学院附属中学
11,体验,班会,11,使用,环境,立体,博物馆,走进,学习,控制情绪,升国旗,孝心,开阔,龙潭湖,十九,三爱,是非,尊严,春天,快乐,种,感受,活动,防震,牵手,仰卧起坐,六一,文明礼仪,帮,观看,了解,比赛,认识,集体,老实人,11,接力赛,立体,文化,青春,升国旗,当家,了解,合法,感,家训,军事博物馆,观看,学习,礼品,中,益,比赛,故事,模拟,嘉年华,京,文化,新年,魅力,博物馆,体验,升旗,感悟,做,升旗,践行,金秋,观,社区,春天,感受
12,感悟,感受,12,预防,绿色,画,走进,遗址,安排,香茗,拼搏,说,英语,女孩,故居,节约粮食,学会,活动,智慧,乐于助人,热心,端午节,演讲比赛,知识,革命先烈,志愿,争做,礼仪,爱,逆境,一二,公益活动,设定,观念,做人,12,比赛,捐书,情怀,做,观看,一棵,观看,做,知多少,班会,节约,日子,了解,香茗,国,习惯,地震,中华,井然有序,延安,体验,走进,扇,人人有责,文化,鲁迅故居,端午,文化,学习,活动,走进,珍爱,告别,历史,定位,寒假
13,铭记,走进,13,交友,捡,创作,北京,丝绸之路,生活,积极,战狼,孝敬,多元,运动会,国家博物馆,做起,辩论会,学习,青春,辩论,捐赠,观看,开学典礼,中,伟人,书,合法,校园,家务,奇迹,军训,铭记,期末考试,科技馆,做题,13,大赛,制作,从我做起,革命先烈,抗战,对不起,节水,合理,家务劳动,越野,参观,空盘,观看,茶,战狼,感悟,初二,历史,演练,学习,剧社,博雅,联欢,12,公益,文化,创意作品,观摩,感受,公民,体验,健康成长,稚气,青春,公园,文明
14,砥砺,参加,14,文明,保护,地理,56,寻根,主题,茶,青春,尊老,科技节,班会,活动,人人有责,讨论,参观,参观,做,小树,四世同堂,观看,逃生,告别,写,力所能及,文明用语,爱劳动,滑雪,博物馆,参加,梦想,培育,演讲会,14,活动,大赛,参加,学农,学农,烟火,悠久,计划表,观礼,乐于,节约用水,视野,军训,做,国防,告别,自我,拒绝,培养,实践,课,勤俭节约,我家,满,环保,经典,班会,走进,运动会,学做,活动,班级,环保,帮,历史,观后感
15,实践,升旗,15,正确认识,捡拾,实践,喜爱,北京,水流,手抄报,加强,迟到,世界,参加,成就展,活动,禁毒,未成年人,公园,社区,儿童,走进,争做,学习,观看,课程,班会,礼仪之邦,实践,承认错误,抗战,责任,五中,社会,公民,15,天天,仰卧起坐,中国,学做,抗日,承认错误,感受,利用,升旗,女孩儿,国防,开拓,走进,爱,观看,喜迎,制作,新,榜样,感受,有感,宪法,故宫,做,垃圾,活,争做,传统,历史,升旗仪式,故宫,十九,青春,帮助,青春,寻梦
16,传承,龙潭湖,16,双刃剑,爱护,参加,感受,感悟,规划,主人,砥砺,班会,感受,周,升国旗,水资源,生命,知识,浸润,社会,捐书,经典,科技节,意识,缅怀,梦想,主题,故事,爱祖国,男孩,国防教育,增强,卢沟桥,华为,做到,16,龙潭,长跑,志愿,环保,活动,今天,卢沟桥,有礼,歌咏,定向,延安,文化遗产,吃,篮球比赛,文化,担当,足球比赛,抗战,营,体验,学习,春节,太极,地坛公园,参加,奥森,首播,外国人,故宫,人人有责,感受,活动,寓教于乐,从我做起,法律,传统
17,中国,学农,17,故宫,志愿,科技,促进,之旅,珍惜,心灵,观,帮,米开朗基罗,乐于,观看,节俭,新闻,走进,活动,指路,参加,传统节日,国,疏散,雷锋,锻炼,做个,中华,收获,军训,观看,接力,改进,科技节,从我做起,17,政区,体质,中华文化,缅怀,国防,责任,走进,铭记,中华文化,升旗仪式,节电,阅读,战狼,孝顺父母,环保,体验,国,奇妙,辉煌成就,寻根,参加,感受,风采,三节,中,奋进,115,周树人,观看,做,传承,师生,国家,庙会,浸润,自我
18,中华文化,中国,18,网上,做,活动,一家亲,游览,年华,茗茶,厉害,家训,学习,无敌,观,参观,文汇,观看,中,志愿,关爱,学习,东城区,讲座,有感,填报,学习,从我做起,家务劳动,勇敢,抗日,感恩,走进,科技成就,丙申,18,天安门,环湖赛,认识,传承,参加,净,刘少奇,老舍,历史,主题,有礼,四大名著,从我做起,开学典礼,制作,文明,防震,耻辱,赞颂,历史博物馆,参观,中国,运动会,飘香,节,垃圾,观,历史,琉璃厂,环保,节水,文化遗产,争做,尊老,尊严,观看
19,首都博物馆,勤俭节约,19,诈骗,做起,笔,大团结,游,计划表,茶艺,了解,老人,博物馆,男孩儿,中国,自来水,小达,讲,嘉年华,志愿者,净土,弘扬,科技,防火,习惯,今天,班级,欺凌,热爱劳动,年级,参加,龙潭湖,活动,节,16,19,西湖,接力赛,环保,节约粮食,天安门广场,中,中国,言行,孝敬,观看,西安,走,感受,茗茶,保护环境,安全,参加,旅行,组织,践行,中,讲,不成方圆,公益活动,体验,博物馆,节粮,实践,感恩,保护环境,文化,天安门,农,中国,智慧,老
20,智慧,垃圾,20,辩证,家园,创新,西藏,中华,手机,活动,班会,家务,日本,年级,感受,浪费,讨,法制,科技,急救,一方,国粹,少年,演练,优秀,制定,中学生,争做,一周,生活,知识,接力跑,心理,身边,为本,20,农机,自我,厉行,四十周年,意识,课,讲座,运动会,天安门,广场,钱物,洗,悠久,茶艺,消防,智慧,做,博物馆,红星,传承,讲座,中,期末,萦绕,中国,爱,手抄报,舌战群儒,时间,101,小手帕,榜样,寓学,课堂,鲁迅博物馆,中
21,手抄报,从我做起,21,讲解,参加,中国,情谊,中国,不成方圆,行茶,欢庆,孝亲,展,中,历史,厉行节约,共,升旗仪式,体验,学习,共享,博物馆,立志,增强,益,复习计划,公益,伴我行,一生,放弃,军事,班会,主题,活动,诚,21,首都博物馆,学习,鸦片战争,从我做起,增强,自我,月,茶馆,法治,升国旗,文明,珍惜,国防,尊爱,家务,之美,意识,北展,三元,求真,文化,爱,大比拼,红心,历史,蓝湖,市运会,国强,益智,六一,慕田峪长城,倡议,青,迎新春,伟人,环
22,民族,青春,22,了解,小区,中学,历史,周口店,作息,节,爱,十句话,新加坡,地理,中国国情,博物馆,逐梦,历史,历史,相处,单车,认同,博雅,时,担当,每天,儿童节,践行,快乐,开学典礼,战狼,参观,成长,牛奶,伴,22,创意作品,参观,文明,红色,卢沟桥,感受,做,成就展,感知,团队,实践,行动,爱,行茶,学习,不成方圆,演习,读书笔记,增强,砥砺,课程,学会,升国旗,感受,制作,少年先锋,迷,话剧表演,家长,爱护,四羊方尊,书画,学做,厂,故宫,勤俭节约
23,国家博物馆,中,23,看待,清理,地图,运动会,践行,运用,学习,奋进,帮助,观看,益智,五年,小报,辩响,广场,走进,热心,献爱心,民俗,电影,VR,文明,体制,板报,老舍,成长,市运会,抗日战争,并肩而行,心目,走进,月,23,实践,锻炼,历史,读万卷书,二九,实践,国,光辉,悠久,法治,走进,感受,手抄报,师长,悠久,文化,从我做起,成就展,国防,之行,观,自我,付,单车,公益活动,微,市运,学雷锋,付,从我做起,值周,垃圾,美篇,写,传承,学习
24,博物馆,天安门,24,自我,美丽,中,匀东,求真,家长,少年,祖国,敬老,旅行,开放日,参加,小窍门,政治课,了解,奥秘,外国人,义工,清明节,故居,消防安全,了解,锻炼身体,随手,年级,在家,课,英雄,社区,方法,了解,学做,24,奋斗史,汇文,保护环境,行万里路,加强,勇于,感知,参观,热爱,意识,身边,科技馆,长辈,女排,环境保护,历史,保护,集体,快乐,学农,园,国家,做,文化,感受,捡,新,学农,莫让,学习,爱,回收,做,感知,文与魂,认识
25,运动会,志愿,25,防沉迷,红心,课本剧,之深,故居,制定,阳光,爱国,妈妈,美国,制作,国情,行动,闯红灯,参加,历史博物馆,了解,养老院,故宫,演讲,防灾,安全,体育锻炼,垃圾,茶馆,感受,会,传承,责任心,分析,创新,信,25,龙潭湖,接力,扶,永葆青春,馆,点亮,勤俭节约,做件,降水,天安门,节水,离开,帮助,篮球赛,计划,主题,三节,第一课,芳华,悠久,博园,南京大屠杀,没有规矩,缤纷,日,里,猜灯,团队精神,年级,走进,科考,爱国,认识,学习,绘制,悠久
26,青春,升旗仪式,26,知识讲座,蓝天,拼图,节,延安,合理安排,调解,中国,爷爷奶奶,文明,直角坐标,初心,环保,担责任,班会,平面图,感动,环保,龙潭湖,魅力,了解,红色,每日,小事,讲文明,年级,坚持,走进,龙潭,总结,博物馆,中,26,接力跑,跑,中华,时事评论,抗日战争,榜样,六一,校,思维,庆典,认识,升旗,中国,教师,发展,责任,学习,成长,尽然,十九,职业,民族,莫让,强化,志愿者,渔阳,悦动,n,悠久,观,宪法,观看,六一,敬老,鲁迅,电影
27,中华,爱,27,学会,水资源,东城区,手抄报,长城,名著,了解,博物馆,养老院,一带,女孩儿,四个,点滴,明辨,校园,制作,王锋,红心,活动,青春,减灾,责任,生活,事,参观,学生,女排,展览,活动,评价,培养,办,27,90,史,国家,头角,认识,学习,电影,强军,气温,中,文化,升旗仪式,中华,排球,利与弊,了解,了解,中国,航拍,传统,传统,电影,祖国,游学,周口店,年,探秘,之殇,合理,中,红旗渠,和平,加强,进校园,实践,砥砺
28,年级,传承,28,制作,北京,比赛,名族,体验,从我做起,参加,勇,事,一路,心理,有感,做,单车,法律意识,探索,送祝福,慰问,一起,2017,安全意识,博雅,榜样,帮,懂,素养,电影,演练,成长,不成方圆,从我做起,胡,28,冬奥,每天,感受,好人好事,国家,创新,奋进,安排,宪法,合作,重要性,参加,家风,精神,首都博物馆,传承,安全,民,花好月圆,寻踪,国粹,中华民族,同学,养老院,体美,宛平城,学习,干,扇,南北极,了解,分类,应尽,制作,学习,中华民族
29,奋进,主题,29,联欢会,地坛,文化,博园,学习,规划表,自我,感受,敬长,走进,实践,名人,宣传,珍爱,天安门,179,北京妇产医院,帮助,历史,观,常识,不成方圆,高中,社区,社区,初二,正确,馆,初三,父母,进步,日,29,宣讲团,活动,升旗,升国旗,一二九,青春,砥砺,奋进,沟通,参观,自我,光盘,鲁迅故居,合作,文明礼仪,榜样,校园,凌,甲午海战,制作,汇报,国耻,益智,年级,171,世说新语,防震,岛,期末,认识,天津,先进,别样,知识,活动,徐悲鸿
30,意识,科技节,30,班会,行动,绘画,民族风情,之行,联欢会,调控,百年,敬,鸟巢,足球比赛,国博,节约资源,火眼金睛,增强,寻踪,勇救,敬老院,体验,庆典活动,灾害,试飞员,时间,观看,脏话,采摘,成长,日,家务,仰卧起坐,手机,雷锋,30,拉,有感,加强,敢,了解,思维,中华民族,砥砺,感受,女生节,团队,宋庆龄,文明,参观,厉害,劳动,中,灾,传,之旅,学期,认识,年华,澳大利亚,民族,砥砺,节电,强则,中国,勤劳,历史博物馆,生命,袁崇焕,牛奶,故宫博物院,走进
